Stazioni;Data;T-MIN;T-MAX
Brusciano;15/02/2020;-0,8;8,9
Brusciano;16/02/2020;0,2;11,1
Brusciano;17/02/2020;2,3;11,6
Brusciano;18/02/2020;1,7;10,5
Brusciano;19/02/2020;-0,9;6,2
Brusciano;20/02/2020;-1,2;5,7
Brusciano;21/02/2020;0;7,4
Brusciano;22/02/2020;-1,1;10,6
Brusciano;23/02/2020;2,9;11,4
Brusciano;24/02/2020;3,5;14,9
Brusciano;25/02/2020;2,3;10
Brusciano;26/02/2020;-4;4,6
Brusciano;27/02/2020;-5,9;4,3
Brusciano;28/02/2020;-1,6;5,5
Brusciano;29/02/2020;-1,9;7,3
Campaegli;01/02/2020;3,6;5,1
Campaegli;02/02/2020;2,9;8,3
Campaegli;03/02/2020;3,0;10,4
Campaegli;04/02/2020;-3,6;9,7
Campaegli;05/02/2020;-4,8;0,1
Campaegli;06/02/2020;-5,2;-0,1
Campaegli;07/02/2020;-5,2;6,5
Campaegli;08/02/2020;-3,8;7,5
Campaegli;09/02/2020;-3,6;5,6
Campaegli;10/02/2020;1,3;5,2
Campaegli;11/02/2020;3,2;11,4
Campaegli;12/02/2020;-2,7;9,3
Campaegli;13/02/2020;-2,6;6,8
Campaegli;14/02/2020;0,7;5,9
Campaegli;15/02/2020;0,1;8,0
Campaegli;16/02/2020;-2,1;9,5
Campaegli;17/02/2020;-0,2;12,6
Campaegli;18/02/2020;-0,5;8,4
Campaegli;19/02/2020;-0,2;7,2
Campaegli;20/02/2020;-1,2;6,0
Campaegli;21/02/2020;-2,2;6,9
Campaegli;22/02/2020;-1,1;7,4
Campaegli;23/02/2020;3,2;11,9
Campaegli;24/02/2020;3,5;14,8
Campaegli;25/02/2020;1,1;8,0
Campaegli;26/02/2020;-4,9;4,5
Campaegli;27/02/2020;-5,1;3,2
Campaegli;28/02/2020;-2,4;5,8
Campaegli;29/02/2020;-0,8;5,1
Campo di Carne;01/02/2020;9,8;15,9
Campo di Carne;02/02/2020;10,0;16,6
Campo di Carne;03/02/2020;8,0;18,3
Campo di Carne;04/02/2020;7,5;18,1
Campo di Carne;05/02/2020;4,5;13,5
Campo di Carne;06/02/2020;-0,1;14,4
Campo di Carne;07/02/2020;-1,2;14,0
Campo di Carne;08/02/2020;-2,6;15,6
Campo di Carne;09/02/2020;0,7;15,5
Campo di Carne;10/02/2020;7,6;13,7
Campo di Carne;11/02/2020;8,4;18,0
Campo di Carne;12/02/2020;6,1;17,2
Campo di Carne;13/02/2020;3,5;16,1
Campo di Carne;14/02/2020;9,3;18,3
Campo di Carne;15/02/2020;2,0;17,2
Campo di Carne;16/02/2020;2,0;16,9
Campo di Carne;17/02/2020;1,8;16,4
Campo di Carne;18/02/2020;3,2;14,7
Campo di Carne;19/02/2020;4,4;14,5
Campo di Carne;20/02/2020;2,5;16,7
Campo di Carne;21/02/2020;1,0;16,6
Campo di Carne;22/02/2020;2,5;16,0
Campo di Carne;23/02/2020;4,0;16,4
Campo di Carne;24/02/2020;9,2;16,7
Campo di Carne;25/02/2020;7,1;17,3
Campo di Carne;26/02/2020;5,5;16,3
Campo di Carne;27/02/2020;2,7;14,5
Campo di Carne;28/02/2020;5,4;17,6
Campo di Carne;29/02/2020;1,4;15,8
Campodimele;01/02/2020;8,4;9,8
Campodimele;02/02/2020;8,3;11,4
Campodimele;03/02/2020;8,2;14,5
Campodimele;04/02/2020;4,8;13,3
Campodimele;05/02/2020;1,6;7,0
Campodimele;06/02/2020;1,2;6,4
Campodimele;07/02/2020;1,1;9,9
Campodimele;08/02/2020;4,1;11,2
Campodimele;09/02/2020;4,2;11,2
Campodimele;10/02/2020;6,7;9,2
Campodimele;11/02/2020;8,8;12,5
Campodimele;12/02/2020;7,9;14,4
Campodimele;13/02/2020;5,5;10,9
Campodimele;14/02/2020;5,6;13,0
Campodimele;15/02/2020;6,4;13,1
Campodimele;16/02/2020;5,8;12,9
Campodimele;17/02/2020;5,1;12,7
Campodimele;18/02/2020;6,6;12,9
Campodimele;19/02/2020;5,6;12,4
Campodimele;20/02/2020;4,4;12,0
Campodimele;21/02/2020;4,8;12,8
Campodimele;22/02/2020;5,6;13,0
Campodimele;23/02/2020;6,5;14,7
Campodimele;24/02/2020;5,7;13,4
Campodimele;25/02/2020;6,4;12,3
Campodimele;26/02/2020;1,4;11,2
Campodimele;27/02/2020;0,9;10,3
Campodimele;28/02/2020;6,0;13,9
Campodimele;29/02/2020;4,5;11,1
Campoli Appennino;01/02/2020;7,7;11,1
Campoli Appennino;02/02/2020;8,2;12,7
Campoli Appennino;03/02/2020;8,0;14,6
Campoli Appennino;04/02/2020;1,8;13,2
